Biker_Age,Riding_Experience,Wearing_Helmet,Motorcycle_Ownership,Valid_Driving_License,Bike_Condition,Road_Type,Road_condition,Weather,Time_of_Day,Traffic_Density,Speed_Limit,Bike_Speed,Number_of_Vehicles,Biker_Alcohol,Accident_Severity
19.0,2.0,No,Bought with own money,No,New,City Road,Wet,Rainy,Morning,1.0,80.0,86.0,2.0,0.0,Moderate Accident
22.0,0.0,No,Inherited,Yes,Old,City Road,Dry,Clear,Afternoon,6.0,80.0,89.0,1.0,0.0,Moderate Accident
30.0,4.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Night,8.0,80.0,119.0,2.0,0.0,Moderate Accident
20.0,4.0,No,Inherited,Yes,New,City Road,Wet,Rainy,Afternoon,8.0,80.0,112.0,2.0,0.0,Moderate Accident
21.0,2.0,Yes,Inherited,No,Old,City Road,Dry,Clear,Noon,2.0,80.0,92.0,1.0,0.0,Moderate Accident
23.0,2.0,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,3.0,80.0,95.0,3.0,0.0,Moderate Accident
17.0,0.0,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Evening,2.0,80.0,112.0,1.0,0.0,Moderate Accident
19.0,0.0,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Morning,2.0,80.0,112.0,3.0,0.0,Moderate Accident
27.0,1.0,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,8.0,80.0,92.0,2.0,0.0,Moderate Accident
20.0,2.0,No,Inherited,No,Old,City Road,Wet,Rainy,Night,1.0,80.0,120.0,3.0,0.0,Moderate Accident
24.0,1.0,No,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,3.0,80.0,87.0,1.0,0.0,Moderate Accident
23.0,2.0,No,Inherited,Yes,Old,City Road,Dry,Foggy,Noon,5.0,80.0,89.0,2.0,0.0,Moderate Accident
21.0,0.0,Yes,Inherited,No,Old,City Road,Wet,Rainy,Afternoon,6.0,80.0,89.0,3.0,0.0,Moderate Accident
22.0,2.0,No,Bought with own money,Yes,New,City Road,Dry,Clear,Morning,7.0,80.0,85.0,3.0,0.0,Moderate Accident
16.0,1.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,1.0,80.0,112.0,2.0,0.0,Moderate Accident
22.0,4.0,Yes,Bought with own money,No,New,City Road,Wet,Rainy,Night,6.0,80.0,85.0,2.0,0.0,Moderate Accident
26.0,1.0,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,6.0,80.0,97.0,3.0,0.0,Moderate Accident
27.0,3.0,No,Inherited,No,Old,City Road,Dry,Foggy,Noon,3.0,80.0,110.0,1.0,0.0,Moderate Accident
25.0,0.0,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,8.0,80.0,115.0,2.0,0.0,Moderate Accident
20.0,2.0,No,Inherited,No,Old,City Road,Dry,Clear,Evening,8.0,80.0,85.0,1.0,0.0,Moderate Accident
22.0,0.0,Yes,Inherited,No,New,City Road,Dry,Foggy,Morning,2.0,80.0,104.0,3.0,0.0,Moderate Accident
27.0,0.0,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,5.0,80.0,117.0,1.0,0.0,Moderate Accident
20.0,0.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Night,8.0,80.0,92.0,3.0,0.0,Moderate Accident
27.0,3.0,Yes,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,8.0,80.0,111.0,2.0,0.0,Moderate Accident
22.0,3.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Noon,6.0,80.0,92.0,1.0,0.0,Moderate Accident
17.0,3.0,No,Inherited,No,New,City Road,Dry,Clear,Afternoon,5.0,80.0,100.0,2.0,0.0,Moderate Accident
24.0,4.0,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Morning,5.0,80.0,112.0,3.0,0.0,Moderate Accident
20.0,5.0,No,Inherited,No,Old,City Road,Wet,Rainy,Afternoon,7.0,80.0,118.0,2.0,0.0,Moderate Accident
28.0,0.0,Yes,Inherited,Yes,New,City Road,Dry,Clear,Night,6.0,80.0,85.0,2.0,0.0,Moderate Accident
25.0,4.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,4.0,80.0,92.0,2.0,0.0,Moderate Accident
27.0,3.0,No,Bought with own money,No,New,City Road,Wet,Rainy,Noon,6.0,80.0,105.0,1.0,0.0,Moderate Accident
17.0,5.0,Yes,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,8.0,80.0,97.0,2.0,0.0,Moderate Accident
15.0,3.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Evening,5.0,80.0,94.0,1.0,0.0,Moderate Accident
18.0,0.0,No,Inherited,Yes,New,City Road,Wet,Rainy,Morning,2.0,80.0,102.0,3.0,0.0,Moderate Accident
28.0,2.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,4.0,80.0,103.0,3.0,0.0,Moderate Accident
20.0,5.0,No,Inherited,No,New,City Road,Dry,Foggy,Night,4.0,80.0,119.0,2.0,0.0,Moderate Accident
26.0,0.0,Yes,Inherited,Yes,Old,City Road,Wet,Rainy,Afternoon,3.0,80.0,96.0,1.0,0.0,Moderate Accident
17.0,4.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Noon,3.0,80.0,85.0,1.0,0.0,Moderate Accident
30.0,5.0,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,4.0,80.0,117.0,1.0,0.0,Moderate Accident
29.0,0.0,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Morning,3.0,80.0,117.0,2.0,0.0,Moderate Accident
30.0,5.0,No,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,5.0,80.0,87.0,1.0,0.0,Moderate Accident
23.0,0.0,No,Inherited,Yes,Old,City Road,Dry,Foggy,Night,8.0,80.0,105.0,2.0,0.0,Moderate Accident
17.0,3.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,3.0,80.0,98.0,3.0,0.0,Moderate Accident
21.0,4.0,No,Inherited,Yes,New,City Road,Dry,Clear,Noon,2.0,80.0,101.0,1.0,0.0,Moderate Accident
28.0,4.0,Yes,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,5.0,80.0,120.0,2.0,0.0,Moderate Accident
21.0,3.0,No,Bought with own money,No,New,City Road,Wet,Rainy,Evening,1.0,80.0,117.0,2.0,0.0,Moderate Accident
24.0,1.0,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Morning,7.0,80.0,108.0,3.0,0.0,Moderate Accident
27.0,0.0,Yes,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,3.0,80.0,101.0,3.0,1.0,Moderate Accident
24.0,4.0,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Night,5.0,80.0,92.0,2.0,0.0,Moderate Accident
24.0,4.0,No,Inherited,No,Old,City Road,Dry,Clear,Afternoon,6.0,80.0,98.0,2.0,0.0,Moderate Accident
21.0,3.0,No,Bought with own money,No,New,City Road,Dry,Foggy,Noon,7.0,80.0,96.0,1.0,0.0,Moderate Accident
19.0,0.0,No,Inherited,Yes,Old,City Road,Wet,Rainy,Afternoon,2.0,80.0,109.0,2.0,0.0,Moderate Accident
28.0,2.0,Yes,Inherited,No,Old,City Road,Dry,Clear,Morning,5.0,80.0,98.0,2.0,0.0,Moderate Accident
19.0,0.0,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Afternoon,4.0,80.0,112.0,1.0,0.0,Moderate Accident
21.0,3.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Night,8.0,80.0,106.0,1.0,0.0,Moderate Accident
27.0,0.0,Yes,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,5.0,80.0,105.0,3.0,0.0,Moderate Accident
25.0,4.0,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Noon,3.0,80.0,91.0,1.0,0.0,Moderate Accident
30.0,2.0,No,Inherited,No,Old,City Road,Wet,Rainy,Afternoon,2.0,80.0,98.0,3.0,0.0,Moderate Accident
25.0,3.0,No,Bought with own money,Yes,New,City Road,Dry,Clear,Evening,4.0,80.0,100.0,1.0,0.0,Moderate Accident
27.0,3.0,No,Inherited,No,Old,City Road,Dry,Foggy,Morning,3.0,80.0,98.0,3.0,0.0,Moderate Accident
28.0,1.0,Yes,Inherited,No,New,City Road,Wet,Rainy,Afternoon,6.0,80.0,90.0,1.0,0.0,Moderate Accident
21.0,2.0,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Night,8.0,80.0,96.0,3.0,0.0,Moderate Accident
20.0,5.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,4.0,80.0,113.0,2.0,0.0,Moderate Accident
23.0,2.0,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Noon,2.0,80.0,102.0,1.0,0.0,Moderate Accident
28.0,4.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,2.0,80.0,114.0,2.0,0.0,Moderate Accident
26.0,0.0,No,Inherited,No,New,City Road,Dry,Foggy,Morning,8.0,80.0,99.0,1.0,0.0,Moderate Accident
20.0,3.0,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,8.0,80.0,105.0,3.0,0.0,Moderate Accident
22.0,0.0,No,Inherited,No,Old,City Road,Dry,Clear,Night,2.0,70.0,115.0,3.0,0.0,Moderate Accident
19.0,3.0,Yes,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,5.0,70.0,70.0,1.0,0.0,Moderate Accident
21.0,5.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Noon,5.0,70.0,79.0,2.0,0.0,Moderate Accident
22.0,5.0,No,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,2.0,70.0,84.0,3.0,0.0,Moderate Accident
26.0,0.0,Yes,Bought with own money,Yes,Old,City Road,Dry,Foggy,Evening,1.0,70.0,116.0,2.0,0.0,Moderate Accident
23.0,0.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Morning,1.0,70.0,105.0,1.0,0.0,Moderate Accident
21.0,2.0,No,Inherited,Yes,New,City Road,Dry,Clear,Afternoon,5.0,70.0,89.0,3.0,0.0,Moderate Accident
18.0,5.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Night,3.0,70.0,108.0,3.0,0.0,Moderate Accident
26.0,5.0,No,Inherited,No,New,City Road,Wet,Rainy,Afternoon,7.0,70.0,112.0,1.0,0.0,Moderate Accident
28.0,0.0,Yes,Inherited,Yes,Old,City Road,Dry,Clear,Noon,4.0,70.0,106.0,2.0,0.0,Moderate Accident
21.0,4.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,3.0,70.0,67.0,2.0,0.0,Moderate Accident
28.0,5.0,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Morning,3.0,70.0,73.0,3.0,0.0,Moderate Accident
28.0,4.0,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,5.0,70.0,95.0,2.0,0.0,Moderate Accident
29.0,2.0,No,Bought with own money,No,New,City Road,Dry,Foggy,Night,4.0,70.0,97.0,1.0,0.0,Moderate Accident
26.0,4.0,No,Inherited,Yes,Old,City Road,Wet,Rainy,Afternoon,3.0,70.0,83.0,1.0,0.0,Moderate Accident
18.0,0.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Noon,6.0,70.0,116.0,2.0,0.0,Moderate Accident
20.0,4.0,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,1.0,70.0,97.0,3.0,0.0,Moderate Accident
30.0,2.0,Yes,Inherited,No,Old,City Road,Wet,Rainy,Evening,4.0,70.0,88.0,3.0,0.0,Moderate Accident
21.0,0.0,No,Bought with own money,No,New,City Road,Dry,Clear,Morning,3.0,70.0,103.0,3.0,0.0,Moderate Accident
25.0,3.0,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Afternoon,2.0,70.0,107.0,3.0,0.0,Moderate Accident
23.0,2.0,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Night,5.0,70.0,72.0,1.0,0.0,Moderate Accident
30.0,5.0,No,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,5.0,70.0,90.0,3.0,0.0,Moderate Accident
16.0,5.0,No,Inherited,No,Old,City Road,Dry,Foggy,Noon,6.0,70.0,83.0,2.0,0.0,Moderate Accident
20.0,5.0,No,Bought with own money,No,New,City Road,Wet,Rainy,Afternoon,5.0,70.0,108.0,1.0,0.0,Moderate Accident
21.0,2.0,No,Inherited,Yes,Old,City Road,Dry,Clear,Morning,7.0,70.0,100.0,2.0,0.0,Moderate Accident
28.0,2.0,Yes,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,1.0,70.0,70.0,1.0,0.0,Moderate Accident
30.0,1.0,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Night,4.0,70.0,92.0,2.0,0.0,Moderate Accident
16.0,5.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,1.0,70.0,68.0,1.0,0.0,Moderate Accident
29.0,5.0,Yes,Bought with own money,No,New,City Road,Dry,Foggy,Noon,7.0,70.0,74.0,3.0,0.0,Moderate Accident
22.0,0.0,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Afternoon,6.0,70.0,110.0,2.0,0.0,Moderate Accident
15.0,2.0,No,Inherited,No,Old,City Road,Dry,Clear,Evening,7.0,70.0,83.0,2.0,0.0,Moderate Accident
24.0,1.0,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Morning,4.0,70.0,79.0,3.0,0.0,Moderate Accident
29.0,1.0,No,Inherited,No,Old,City Road,Wet,Rainy,Afternoon,6.0,70.0,111.0,3.0,0.0,Moderate Accident
15.0,0.0,Yes,Inherited,No,New,City Road,Dry,Clear,Night,4.0,70.0,92.0,1.0,0.0,Moderate Accident
29.0,1.0,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Afternoon,7.0,70.0,73.0,3.0,0.0,Moderate Accident
27.0,3.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Noon,8.0,70.0,91.0,1.0,0.0,Moderate Accident
23.0,4.0,Yes,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,6.0,70.0,93.0,1.0,0.0,Moderate Accident
18.0,2.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Morning,1.0,70.0,93.0,2.0,0.0,Moderate Accident
26.0,1.0,No,Inherited,No,New,City Road,Wet,Rainy,Afternoon,7.0,70.0,89.0,3.0,0.0,Moderate Accident
26.0,1.0,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Night,7.0,70.0,83.0,1.0,0.0,Moderate Accident
17.0,3.0,No,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,3.0,70.0,100.0,3.0,0.0,Moderate Accident
19.0,2.0,Yes,Inherited,Yes,New,City Road,Wet,Rainy,Noon,8.0,70.0,105.0,3.0,0.0,Moderate Accident
27.0,0.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,2.0,70.0,72.0,2.0,0.0,Moderate Accident
26.0,4.0,No,Bought with own money,No,New,City Road,Dry,Foggy,Evening,3.0,70.0,67.0,3.0,0.0,Moderate Accident
17.0,0.0,Yes,Bought with own money,Yes,Old,City Road,Wet,Rainy,Morning,1.0,70.0,87.0,2.0,0.0,Moderate Accident
20.0,4.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,2.0,70.0,118.0,2.0,0.0,Moderate Accident
24.0,0.0,No,Inherited,Yes,New,City Road,Dry,Foggy,Night,4.0,70.0,80.0,2.0,0.0,Moderate Accident
16.0,0.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,7.0,70.0,108.0,2.0,0.0,Moderate Accident
30.0,5.0,No,Inherited,No,New,City Road,Dry,Clear,Noon,5.0,70.0,108.0,3.0,0.0,Moderate Accident
19.0,3.0,Yes,Inherited,Yes,Old,City Road,Dry,Foggy,Afternoon,8.0,70.0,98.0,3.0,0.0,Moderate Accident
17.0,5.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Morning,4.0,70.0,89.0,2.0,0.0,Moderate Accident
16.0,4.0,No,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,2.0,70.0,68.0,3.0,0.0,Moderate Accident
18.0,4.0,Yes,Bought with own money,No,Old,City Road,Dry,Foggy,Night,7.0,70.0,91.0,2.0,1.0,Moderate Accident
27.0,4.0,No,Bought with own money,No,New,City Road,Wet,Rainy,Afternoon,5.0,70.0,120.0,2.0,0.0,Moderate Accident
26.0,0.0,No,Inherited,Yes,Old,City Road,Dry,Clear,Noon,5.0,70.0,114.0,2.0,0.0,Moderate Accident
18.0,3.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,7.0,70.0,107.0,3.0,0.0,Moderate Accident
15.0,1.0,No,Inherited,Yes,New,City Road,Wet,Rainy,Evening,3.0,70.0,66.0,2.0,0.0,Moderate Accident
22.0,3.0,Yes,Inherited,No,Old,City Road,Dry,Clear,Morning,4.0,70.0,97.0,2.0,0.0,Moderate Accident
24.0,0.0,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,7.0,70.0,74.0,3.0,0.0,Moderate Accident
19.0,2.0,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Night,7.0,70.0,87.0,3.0,0.0,Moderate Accident
17.0,2.0,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,7.0,70.0,102.0,1.0,0.0,Moderate Accident
17.0,4.0,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Noon,7.0,70.0,117.0,3.0,0.0,Moderate Accident
21.0,1.0,No,Inherited,No,Old,City Road,Wet,Rainy,Afternoon,8.0,70.0,73.0,3.0,0.0,Moderate Accident
26.0,3.0,No,Bought with own money,No,New,City Road,Dry,Clear,Morning,2.0,70.0,79.0,3.0,0.0,Moderate Accident
25.0,2.0,No,Inherited,Yes,Old,City Road,Dry,Foggy,Afternoon,1.0,70.0,83.0,1.0,0.0,Moderate Accident
17.0,3.0,Yes,Inherited,No,Old,City Road,Wet,Rainy,Night,8.0,70.0,93.0,1.0,0.0,Moderate Accident
24.0,3.0,No,Bought with own money,Yes,New,City Road,Dry,Clear,Afternoon,1.0,70.0,69.0,1.0,0.0,Moderate Accident
26.0,5.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Noon,7.0,70.0,95.0,3.0,0.0,Moderate Accident
17.0,2.0,Yes,Bought with own money,No,New,City Road,Wet,Rainy,Afternoon,5.0,70.0,80.0,1.0,0.0,Moderate Accident
22.0,0.0,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Evening,1.0,70.0,78.0,2.0,0.0,Moderate Accident
30.0,0.0,No,Inherited,No,Old,City Road,Dry,Foggy,Morning,7.0,70.0,86.0,1.0,0.0,Moderate Accident
20.0,1.0,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,5.0,70.0,73.0,2.0,0.0,Moderate Accident
24.0,0.0,No,Inherited,No,Old,City Road,Dry,Clear,Night,4.0,70.0,74.0,1.0,0.0,Moderate Accident
23.0,3.0,Yes,Inherited,No,New,City Road,Dry,Foggy,Afternoon,3.0,70.0,113.0,1.0,0.0,Moderate Accident
18.0,1.0,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Noon,5.0,70.0,83.0,3.0,0.0,Moderate Accident
21.0,2.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,4.0,70.0,96.0,3.0,0.0,Moderate Accident
18.0,1.0,Yes,Bought with own money,Yes,New,City Road,Dry,Foggy,Morning,2.0,70.0,98.0,2.0,0.0,Moderate Accident
26.0,0.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,4.0,70.0,118.0,2.0,0.0,Moderate Accident
15.0,0.0,No,Inherited,No,New,City Road,Dry,Clear,Night,4.0,70.0,98.0,1.0,0.0,Moderate Accident
26.0,2.0,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Afternoon,3.0,70.0,102.0,1.0,0.0,Moderate Accident
16.0,3.0,No,Inherited,No,Old,City Road,Wet,Rainy,Noon,1.0,70.0,102.0,2.0,0.0,Moderate Accident
15.0,3.0,Yes,Inherited,Yes,New,City Road,Dry,Clear,Afternoon,5.0,70.0,95.0,2.0,0.0,Moderate Accident
24.0,1.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Evening,5.0,70.0,100.0,3.0,0.0,Moderate Accident
26.0,0.0,No,Bought with own money,No,New,City Road,Wet,Rainy,Morning,3.0,70.0,76.0,3.0,0.0,Moderate Accident
16.0,0.0,Yes,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,5.0,70.0,102.0,2.0,0.0,Moderate Accident
19.0,3.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Night,3.0,70.0,88.0,2.0,0.0,Moderate Accident
18.0,0.0,No,Inherited,Yes,New,City Road,Wet,Rainy,Afternoon,6.0,70.0,67.0,1.0,0.0,Moderate Accident
22.0,0.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Noon,7.0,70.0,71.0,3.0,0.0,Moderate Accident
28.0,0.0,No,Inherited,No,New,City Road,Dry,Foggy,Afternoon,1.0,70.0,87.0,2.0,0.0,Moderate Accident
24.0,2.0,Yes,Inherited,Yes,Old,City Road,Wet,Rainy,Morning,3.0,70.0,112.0,3.0,0.0,Moderate Accident
17.0,0.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Afternoon,8.0,70.0,102.0,2.0,0.0,Moderate Accident
17.0,0.0,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Night,7.0,70.0,77.0,3.0,0.0,Moderate Accident
21.0,4.0,Yes,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,2.0,70.0,79.0,3.0,0.0,Moderate Accident
29.0,0.0,No,Bought with own money,No,New,City Road,Dry,Clear,Noon,5.0,70.0,119.0,3.0,0.0,Moderate Accident
18.0,5.0,No,Inherited,Yes,Old,City Road,Dry,Foggy,Afternoon,2.0,70.0,70.0,1.0,0.0,Moderate Accident
24.0,4.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Evening,3.0,70.0,83.0,2.0,0.0,Moderate Accident
18.0,1.0,No,Inherited,Yes,New,City Road,Dry,Clear,Morning,8.0,70.0,75.0,1.0,1.0,Moderate Accident
24.0,5.0,Yes,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,6.0,70.0,93.0,2.0,0.0,Moderate Accident
24.0,0.0,No,Bought with own money,No,New,City Road,Wet,Rainy,Night,6.0,70.0,101.0,3.0,0.0,Moderate Accident
20.0,4.0,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,2.0,70.0,67.0,1.0,0.0,Moderate Accident
28.0,3.0,Yes,Bought with own money,No,Old,City Road,Dry,Foggy,Noon,4.0,70.0,103.0,2.0,0.0,Moderate Accident
15.0,3.0,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,3.0,70.0,103.0,1.0,0.0,Moderate Accident
23.0,1.0,No,Inherited,No,Old,City Road,Dry,Clear,Morning,6.0,70.0,89.0,1.0,0.0,Moderate Accident
15.0,5.0,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,4.0,70.0,110.0,3.0,0.0,Moderate Accident
29.0,0.0,No,Inherited,Yes,Old,City Road,Wet,Rainy,Night,3.0,70.0,112.0,1.0,0.0,Moderate Accident
22.0,0.0,Yes,Inherited,No,Old,City Road,Dry,Clear,Afternoon,7.0,70.0,89.0,1.0,0.0,Moderate Accident
15.0,1.0,No,Bought with own money,Yes,New,City Road,Dry,Foggy,Noon,2.0,70.0,69.0,1.0,0.0,Moderate Accident
26.0,2.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,3.0,70.0,71.0,3.0,0.0,Moderate Accident
16.0,2.0,Yes,Bought with own money,No,New,City Road,Dry,Clear,Evening,2.0,70.0,120.0,3.0,0.0,Moderate Accident
22.0,1.0,No,Bought with own money,Yes,Old,City Road,Dry,Foggy,Morning,2.0,70.0,67.0,1.0,1.0,Moderate Accident
25.0,1.0,No,Inherited,No,Old,City Road,Wet,Rainy,Afternoon,3.0,70.0,75.0,1.0,0.0,Moderate Accident
18.0,3.0,No,Bought with own money,Yes,New,City Road,Dry,Clear,Night,2.0,70.0,95.0,2.0,0.0,Moderate Accident
29.0,4.0,No,Inherited,No,Old,City Road,Dry,Foggy,Afternoon,3.0,70.0,82.0,2.0,0.0,Moderate Accident
17.0,0.0,Yes,Inherited,No,New,City Road,Wet,Rainy,Noon,4.0,70.0,91.0,1.0,0.0,Moderate Accident
28.0,5.0,No,Bought with own money,Yes,Old,City Road,Dry,Clear,Afternoon,6.0,70.0,100.0,2.0,0.0,Moderate Accident
29.0,4.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Morning,8.0,70.0,106.0,1.0,0.0,Moderate Accident
16.0,1.0,Yes,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,3.0,70.0,89.0,3.0,0.0,Moderate Accident
21.0,3.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Night,2.0,70.0,117.0,2.0,0.0,Moderate Accident
19.0,4.0,No,Inherited,No,New,City Road,Dry,Foggy,Afternoon,1.0,70.0,65.0,2.0,0.0,Moderate Accident
25.0,4.0,No,Bought with own money,Yes,Old,City Road,Wet,Rainy,Noon,8.0,70.0,85.0,3.0,0.0,Moderate Accident
28.0,2.0,No,Inherited,No,Old,City Road,Dry,Clear,Afternoon,3.0,70.0,105.0,2.0,0.0,Moderate Accident
17.0,0.0,Yes,Inherited,Yes,New,City Road,Dry,Foggy,Evening,7.0,70.0,113.0,2.0,0.0,Moderate Accident
19.0,2.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Morning,2.0,70.0,94.0,1.0,0.0,Moderate Accident
23.0,5.0,No,Bought with own money,No,New,City Road,Dry,Clear,Afternoon,2.0,70.0,103.0,2.0,0.0,Moderate Accident
23.0,4.0,Yes,Bought with own money,Yes,Old,City Road,Dry,Foggy,Night,2.0,70.0,76.0,3.0,0.0,Moderate Accident
19.0,3.0,No,Bought with own money,No,Old,City Road,Wet,Rainy,Afternoon,7.0,70.0,120.0,2.0,0.0,Moderate Accident
24.0,1.0,No,Inherited,Yes,New,City Road,Dry,Clear,Noon,3.0,70.0,109.0,2.0,0.0,Moderate Accident
24.0,2.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Afternoon,6.0,70.0,94.0,3.0,0.0,Moderate Accident
17.0,3.0,No,Inherited,No,New,City Road,Wet,Rainy,Morning,7.0,70.0,95.0,2.0,0.0,Moderate Accident
21.0,2.0,Yes,Inherited,Yes,Old,City Road,Dry,Clear,Afternoon,3.0,70.0,92.0,3.0,0.0,Moderate Accident
22.0,5.0,No,Bought with own money,No,Old,City Road,Dry,Foggy,Night,3.0,70.0,74.0,2.0,0.0,Moderate Accident
20.0,0.0,No,Bought with own money,Yes,New,City Road,Wet,Rainy,Afternoon,1.0,70.0,84.0,2.0,0.0,Moderate Accident
29.0,4.0,Yes,Bought with own money,No,Old,City Road,Dry,Clear,Noon,5.0,70.0,111.0,2.0,0.0,Moderate Accident
25.0,5.0,No,Bought with own money,No,New,City Road,Dry,Foggy,Afternoon,3.0,70.0,78.0,2.0,0.0,Moderate Accident
24.0,0.0,No,Inherited,Yes,Old,City Road,Wet,Rainy,Evening,1.0,70.0,72.0,1.0,0.0,Moderate Accident
17.0,5.0,No,Bought with own money,No,Old,City Road,Dry,Clear,Morning,7.0,70.0,79.0,3.0,0.0,Moderate Accident
23.0,5.0,No,Inherited,Yes,New,City Road,Dry,Foggy,Afternoon,5.0,70.0,120.0,3.0,0.0,Moderate Accident
22.0,3.0,Yes,Inherited,No,Old,City Road,Wet,Rainy,Night,8.0,70.0,109.0,3.0,0.0,Moderate Accident
